,Currency,Date,Open,High,Low,Close,Volume,Market Cap
0,tezos,2019-12-04,1.29,1.32,1.25,1.25,"46,048,752","824,588,509"
1,tezos,2019-12-03,1.24,1.32,1.21,1.29,"41,462,224","853,213,342"
2,tezos,2019-12-02,1.25,1.26,1.20,1.24,"27,574,097","817,872,179"
3,tezos,2019-12-01,1.33,1.34,1.25,1.25,"24,127,567","828,296,390"
4,tezos,2019-11-30,1.31,1.37,1.31,1.33,"28,706,667","879,181,680"
5,tezos,2019-11-29,1.28,1.34,1.28,1.31,"32,270,224","867,085,098"
6,tezos,2019-11-28,1.26,1.35,1.22,1.28,"44,240,281","845,073,679"
7,tezos,2019-11-27,1.24,1.27,1.16,1.26,"47,723,271","829,672,736"
8,tezos,2019-11-26,1.24,1.28,1.23,1.24,"54,828,808","822,065,277"
9,tezos,2019-11-25,1.33,1.33,1.21,1.24,"64,954,006","815,688,075"
10,tezos,2019-11-24,1.40,1.42,1.31,1.34,"49,206,070","887,731,654"
11,tezos,2019-11-23,1.22,1.42,1.22,1.39,"123,832,790","920,735,790"
12,tezos,2019-11-22,1.21,1.28,1.08,1.22,"69,312,275","804,427,044"
13,tezos,2019-11-21,1.21,1.29,1.18,1.21,"53,020,027","800,257,863"
14,tezos,2019-11-20,1.22,1.25,1.17,1.21,"33,605,071","801,174,969"
15,tezos,2019-11-19,1.23,1.25,1.15,1.22,"35,796,763","805,231,584"
16,tezos,2019-11-18,1.16,1.26,1.16,1.23,"37,602,915","813,744,878"
17,tezos,2019-11-17,1.16,1.18,1.15,1.16,"22,483,167","767,707,353"
18,tezos,2019-11-16,1.17,1.18,1.16,1.16,"26,689,028","768,303,560"
19,tezos,2019-11-15,1.22,1.26,1.15,1.17,"32,203,363","773,992,543"
20,tezos,2019-11-14,1.13,1.30,1.11,1.22,"41,978,349","808,582,829"
21,tezos,2019-11-13,1.17,1.17,1.12,1.13,"23,410,839","746,750,215"
22,tezos,2019-11-12,1.18,1.20,1.15,1.17,"23,591,140","771,905,281"
23,tezos,2019-11-11,1.23,1.24,1.17,1.18,"25,012,739","776,358,941"
24,tezos,2019-11-10,1.25,1.25,1.19,1.23,"31,134,799","812,505,004"
25,tezos,2019-11-09,1.17,1.26,1.15,1.24,"34,760,712","819,630,519"
26,tezos,2019-11-08,1.22,1.28,1.12,1.17,"44,195,683","770,094,896"
27,tezos,2019-11-07,1.02,1.44,1.02,1.22,"92,805,360","805,246,128"
28,tezos,2019-11-06,0.927547,1.05,0.902417,1.02,"26,095,931","673,756,212"
29,tezos,2019-11-05,0.891802,0.929289,0.877752,0.927137,"13,420,498","612,256,490"
30,tezos,2019-11-04,0.868023,0.907127,0.864600,0.891802,"16,511,023","588,922,638"
31,tezos,2019-11-03,0.865785,0.874167,0.848911,0.868879,"11,444,717","573,784,519"
32,tezos,2019-11-02,0.878443,0.886302,0.857435,0.865528,"9,944,483","571,571,532"
33,tezos,2019-11-01,0.889461,0.891029,0.863507,0.877941,"12,684,201","579,768,933"
34,tezos,2019-10-31,0.914068,0.924062,0.873981,0.890512,"13,120,625","588,070,905"
35,tezos,2019-10-30,0.878168,0.969414,0.774601,0.914079,"23,084,998","603,633,344"
36,tezos,2019-10-29,0.871995,0.917937,0.825450,0.878892,"19,713,852","580,397,277"
37,tezos,2019-10-28,0.879748,0.928777,0.768318,0.875315,"24,337,121","578,034,790"
38,tezos,2019-10-27,0.836378,0.890216,0.688631,0.875154,"23,186,370","577,928,349"
39,tezos,2019-10-26,0.833823,0.926030,0.818766,0.831994,"20,293,463","549,426,804"
40,tezos,2019-10-25,0.767532,0.842798,0.762231,0.834757,"16,862,309","551,251,771"
41,tezos,2019-10-24,0.761316,0.780364,0.754028,0.768243,"14,425,427","507,327,662"
42,tezos,2019-10-23,0.838904,0.839336,0.755143,0.761316,"14,131,553","502,752,829"
43,tezos,2019-10-22,0.870816,0.879914,0.833186,0.838575,"11,567,380","553,772,790"
44,tezos,2019-10-21,0.877297,0.889119,0.866837,0.871432,"11,434,852","575,470,528"
45,tezos,2019-10-20,0.865450,0.884321,0.861892,0.877438,"9,297,806","579,437,174"
46,tezos,2019-10-19,0.879461,0.890271,0.861758,0.865266,"10,127,092","571,399,102"
47,tezos,2019-10-18,0.895843,0.898314,0.869977,0.877796,"10,666,948","579,673,087"
48,tezos,2019-10-17,0.876521,0.899669,0.872991,0.895843,"11,185,558","591,591,209"
49,tezos,2019-10-16,0.909666,0.913004,0.861378,0.876968,"12,766,002","579,126,752"
50,tezos,2019-10-15,0.939501,0.961195,0.902323,0.907378,"17,300,340","599,208,238"
51,tezos,2019-10-14,0.903695,0.942667,0.897807,0.941266,"16,242,661","621,587,341"
52,tezos,2019-10-13,0.893087,0.967000,0.886280,0.903695,"19,773,441","596,776,442"
53,tezos,2019-10-12,0.911203,0.921544,0.850423,0.893100,"19,332,567","589,779,872"
54,tezos,2019-10-11,0.913683,0.920685,0.885656,0.914116,"18,114,188","603,658,112"
55,tezos,2019-10-10,0.942845,0.944412,0.913233,0.915035,"24,538,307","604,264,912"
56,tezos,2019-10-09,0.899704,0.957093,0.894856,0.942926,"16,465,901","622,683,648"
57,tezos,2019-10-08,0.906241,0.915839,0.895083,0.899704,"18,299,070","594,140,600"
58,tezos,2019-10-07,0.875990,0.924249,0.867754,0.906686,"16,375,621","598,751,227"
59,tezos,2019-10-06,0.912324,0.913770,0.872431,0.876948,"12,691,818","579,113,086"
60,tezos,2019-10-05,0.923275,0.924122,0.902212,0.912535,"13,070,972","602,614,044"
61,tezos,2019-10-04,0.934931,0.935670,0.901729,0.923275,"14,953,450","609,706,365"
62,tezos,2019-10-03,0.943783,0.965669,0.917273,0.935255,"11,184,781","617,617,831"
63,tezos,2019-10-02,0.953811,0.953811,0.893671,0.943158,"17,174,252","622,836,475"
64,tezos,2019-10-01,0.904240,0.997532,0.898776,0.953637,"13,349,266","629,756,396"
65,tezos,2019-09-30,0.888097,0.918420,0.853907,0.903533,"15,800,572","596,669,068"
66,tezos,2019-09-29,0.893418,0.916808,0.869514,0.887902,"11,871,749","586,346,796"
67,tezos,2019-09-28,0.895378,0.916559,0.868757,0.893673,"9,062,006","590,158,131"
68,tezos,2019-09-27,0.850902,0.899908,0.824431,0.895409,"17,459,138","591,304,774"
69,tezos,2019-09-26,0.854433,0.913537,0.821401,0.851353,"12,848,761","562,210,845"
70,tezos,2019-09-25,0.889105,0.909275,0.818959,0.854977,"24,468,658","564,604,498"
71,tezos,2019-09-24,1.05,1.09,0.852477,0.892636,"25,188,778","589,473,410"
72,tezos,2019-09-23,1.05,1.14,1.02,1.05,"18,341,225","696,104,355"
73,tezos,2019-09-22,1.07,1.08,1.05,1.06,"8,594,941","696,868,198"
74,tezos,2019-09-21,1.06,1.08,1.06,1.07,"13,990,523","708,171,839"
75,tezos,2019-09-20,1.10,1.11,1.05,1.06,"14,160,437","701,240,151"
